file,institution,hostel_or_mess,state,region,institution_type,source_url,retrieved_on,format,menu_period_if_stated,veg_only,notes
csjmu-kanpur__hostel.pdf,"Chhatrapati Shahu Ji Maharaj University, Kanpur",University hostel mess,Uttar Pradesh,north,state university,https://csjmu.ac.in/wp-content/uploads/docs/2022/08/Hostel-Menu.pdf,2026-09-21,pdf (text),not stated (uploaded 2022-08),yes,Weekly B/L/hi-tea/D; no non-veg items.
sliet-longowal__hostel-mess.pdf,Sant Longowal Institute of Engineering and Technology (SLIET),Hostel mess (common),Punjab,north,deemed university (centrally funded),http://hostel.sliet.ac.in/files/2025/02/Mess-Menu-Items.pdf,2026-09-21,pdf (text),not stated (uploaded 2025-02; PDF created 2025-01-02),no,2 pages; states gram quantities; boiled egg options.
pondicherry-university__madame-curie-hostel.pdf,Pondicherry University,Madame Curie Mess - PhD scholars,Puducherry,south,central university,https://www.pondiuni.edu.in/wp-content/uploads/2022/08/Menulist-Madame-Curie-Hostel.pdf,2026-09-21,pdf (scanned image),2022-2023,no,Scanned signed sheet; alternating-week items; N.Veg egg/chicken listed; needs OCR.
pondicherry-university__ilango-adigal-hostel.pdf,Pondicherry University,Ilango Adigal Hostel Mess - PhD scholars,Puducherry,south,central university,https://www.pondiuni.edu.in/wp-content/uploads/2022/08/Menulist-Ilango-Adigal-Mess.pdf,2026-09-21,pdf (scanned image),2022-23 (signed 28/06/2022),no,"Scanned; includes portion sizes (rice 200 g, chapati 2x60 g); chicken/egg days; needs OCR."
nit-manipur__hostels-revised.pdf,NIT Manipur,Hostels - revised mess menu,Manipur,northeast,NIT,https://nitmanipur.ac.in/LatestUpdate/Revised_Mess_Menu.pdf,2026-09-21,pdf (text),not stated (PDF created 2015-02-27),no,"Official URL serves an HTML viewer; bytes saved from the embedded Azure blob URL it points to (time-limited SAS link). Includes local dishes (kangsoi, iromba); fish/chicken/egg."
iiser-bhopal__dining-hall-3.pdf,IISER Bhopal,"Mess 3 & Mess 4 (Veg mess), Dining Hall 3",Madhya Pradesh,central,IISER,https://dosa.iiserb.ac.in/public/assets2/pdf/mess-menu/mess3/mess-3-dining-hall-3-4-17-09-2026.pdf,2026-09-21,pdf (scanned image),17/09/2026,yes,"Scanned signed sheet; listed on https://dosa.iiserb.ac.in/mess_menu with other messes (1, 2, 6GF, 6FF, 7GF). Needs OCR."
gniot-greater-noida__hostel.pdf,"GNIOT Institute of Professional Studies, Greater Noida",Hostel mess,Uttar Pradesh,north,private,https://www.gniotips.in/pdf/hostel/hostel_services_menu.pdf,2026-09-21,pdf (text),not stated (PDF created 2025-09-01),yes,3 pages; B/L/evening snacks/D; no non-veg items found. Not .ac.in/.edu.in but the college's own site.
sns-college-of-engineering__hostel-mess.html,"SNS College of Engineering, Coimbatore",Hostel mess,Tamil Nadu,south,private,https://snsce.ac.in/foodmenuhostelsnsce/,2026-09-21,html,not stated,no,"HTML page; weekly B/L/snacks/D; boiled egg on one dinner. Sister college SNSCT (https://snsct.org/foodmenuhostelsnsce2/) shows an almost identical menu, so it was not added."
vnit-nagpur__aaswad-mess.pdf,VNIT Nagpur,Aaswad mess (boys hostels),Maharashtra,west,NIT,https://drive.google.com/uc?export=download&id=1160L-pmiWiUFWAMy9oDtr91hzLSx5a59,2026-09-21,pdf (text),Effective from 19 January 2026,no,Google Drive file linked from the official page https://vnit.ac.in/section/hostel/about-aaswad-mess/ ; boiled egg etc.
tezpur-university__kwh-womens-hostel.pdf,Tezpur University,KWH women's hostel mess,Assam,northeast,central university,https://www.tezu.ernet.in/hostels/kwh/Mess%20menu.pdf,2026-09-21,pdf (scanned image),15-28 Feb (year not stated),no,CamScanner scan; date-by-date daily menu (B/L/D) rather than a repeating week; fish/chicken/egg (nv) marked; needs OCR.
iit-bombay__hostel-16-week1.pdf,IIT Bombay,Hostel 16 mess,Maharashtra,west,IIT,https://gymkhana.iitb.ac.in/~hostel16/messMenus/Menu-week1.pdf,2026-09-21,pdf (text),1/10/18 to 7/10/18,no,Hostel's own gymkhana page; B/L/tiffin/D; egg items.
iit-kharagpur__hmc-revised-menu-2017.pdf,IIT Kharagpur,All halls - Hall Management Centre revised menu,West Bengal,east,IIT,https://hmc.iitkgp.ac.in/web/wp-content/uploads/2017/01/Revised-mess-menu-19.01.17.pdf,2026-09-21,pdf (scanned image),effective 23/01/2017,no,3 pages scanned; committee resolution plus Table 1 basic menu and Table 2 veg/non-veg optional menu with per-item costs (Rs). Needs OCR.
iit-roorkee__azad-bhawan.pdf,IIT Roorkee,Azad Bhawan mess,Uttarakhand,north,IIT,https://www.iitr.ac.in/azadbhawan/assets/img/mess_menu.pdf,2026-09-21,pdf (scanned image),15-11-2021 to 21-11-2021,no,Photo of a signed sheet; one week of B/L/D; egg items; needs OCR.
iit-delhi__jwalamukhi-hostel.json,IIT Delhi,Jwalamukhi hostel mess,Delhi,north,IIT,https://jwalamukhi.iitd.ac.in/data/mess.json,2026-09-21,json,month 'September 26' (Sept 2026),no,Structured JSON behind the hostel's page https://jwalamukhi.iitd.ac.in/mess.html (rendered by JS). 7 days x B/L/snacks/D plus always-available items; chicken biryani option.
iit-madras__ccw-veg-menu.html,IIT Madras,"CCW Veg Menu (weeks A-D, without non-veg extras)",Tamil Nadu,south,IIT,https://ccw.iitm.ac.in/pages/veg-menu,2026-09-21,html (embedded scanned images),not stated (signed 8/7),yes,~12 MB HTML with 4 base64 PNG scans (4-week rotation A-D); cuisine columns; needs image extraction + OCR. Non-veg and food-court menus are on sibling pages.
central-university-of-punjab__student-cooperative-mess.pdf,Central University of Punjab,Student Cooperative Mess,Punjab,north,central university,https://docs.google.com/document/d/1gzxsW4FOnIw4eEKlbsnlTyVf84zNAtUPyM7e5WwDhkY/export?format=pdf,2026-09-21,pdf (text; Google Docs export),W.E.F. 12/12/2016,no,The mess's official page https://cup.edu.in//Coperative%20Mess/Menue.html links this Google Doc; saved as Google's PDF export (not a file the site hosts). Egg curry option.
nalanda-university__hostel-mess.pdf,Nalanda University,University hostel mess,Bihar,east,central university,https://nalandauniv.edu.in/wp-content/uploads/2019/07/mess_menu-pdf.pdf,2026-09-21,pdf (text),rotating weeks (1st&3rd / 2nd&4th); not dated (uploaded 2019-07; PDF created 2016-07-02),no,4 pages; 2-week rotation; non-veg items present.
