<!-- Nalanda University | University hostel mess | page 4: this menu was longer than one read allows, so the transcription stops partway; check the last days and add anything missing -->
<!-- page 1 -->
| Meal | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday |
|  | VEG TAVA FRY | BHINDI DRY/SEASONAL | CRISPY VEG | ARHAR DAL | SEASONAL DRY VEG | STUFFED KARELA/CAPSICUM | STUFFED TOMATO/ JACKFRUIT VEG |
|  | VEG | VEG | VEG | VEG | VEG | VEG | VEG |
|  | ROASTED PAPAD | FRYUMES | ROASTED PAPAD | VEG/BOOONDI RAITA | FRYUMES | ROASTED PAPAD | FRYUMES |
|  | CURD | RAITA | CHAAS | CURD/LEMON WATER | CURD/LEMON WATER | SALAD | DAHI WADA |
|  | SALAD | SALAD | SALAD | SALAD | SALAD | SALAD | SALAD |
|  | STEAM RICE,CHAPATI | VEG.PULAO | LITITI WITH GHEE/KACHORI | STEAM RICE,CHAPATI | JEERA RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI |
|  | DAL ADRAKI | DAL MAKHNI | CHOKHA | CHANA DAL | DAL TADKA | DAL TADKA | MASOOR DAL FRY |
|  | PANEER DO PYAZA | KACCHA BANANA VEG | FULKA | MUSHROOM MASALA | RAJMA PUNJABI | CHICKEN CURRY | CHICKEN CURRY |
|  | EGG CURRY | STUDENT'S SPECIAL | BHINDI DRY/ VEG TAVA | KADHAI VEG | MIX VEG DRY | BHINDI/KUNRU (TENDLA) | GARLIC PANEER |
|  | DINNER | FRY | DRY/BAIGAN MASALA | FISH CURRY & FISH FRY |  |  |  |
|  | FRYUMES/PAPAD | CHAPATI | VEG BIRYANI | SALAD | SALAD | SALAD | SALAD,PICKLE |
|  | SALAD | RAITA,SALAD | RAITA, PICKLE, SALAD | FISH CURRY & FISH FRY |  |  |  |

<!-- page 2 -->
| Day of the Week | MOONG DAL/GAJAR HALWA | ICE CREAM (BUTTER SCOTCH) WITH CHOCOLATE SYRUP | SABUDANA KHEER | KHEER | LAUKI/MONG HALWA | GULABJAMUN | FRUIT CUSTARD |
| --- | --- | --- | --- | --- | --- | --- | --- |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |

<!-- page 3 -->
| Meal | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Breakfast | UPMA WITH CHUTNEY | CHOLE-BHature | BUTTER PAV BHAJI/ SABUDANA KHICHDI | POHA | IDLI | VEG PARATHA | DOSA/ WADA WITH SAMBHAR |
|  | BOILED CORNs | CURD,SAUCE | GROUND NUT & GREEN CHUTNEY | TOMATO/ CORRANIDER CHUTNEY | CHUTNEY,SAMBHAR | CURD | COCONUT CHUTNEY |
|  | TOAST BUTTER JAM | SPROUTED M00G | SPROUTED GRAINS | SPROUTED GRAINS | SPROUTED GRAINS | SPROUTED MOONG | SPROUTED GRAINS |
|  | EGG OMLET | TOAST/BUTTER/JAM | TOAST BUTTER JAM | TOAST/BUTTER/JAM | TOAST BUTTER JAM | TOAST BUTTER JAM | TOAST BUTTER JAM |
|  | SEASONAL FRUITS/FRUIT JUICE | FRIED EGGS | EGG BHURJ | EGG OMLET | FRIED EGG | BOILED EGG | EGG BHURJ |
|  | MILK | CORN FLAKES,MILK | MILK | MILK | MILK WITH CORNFLAKES | FRESH FRUIT | MILK |
|  | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE |
|  | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | KHICHDI | STEAM RICE,CHAPATI |
|  | ARHAR DAL | CHANA DAL | DAL MAKHNI | RAJMA MASALA | SHEZWAN ALOO MATAR GRAAN | GHEE | MIX DAL |
|  | ALOO GOBHI/SEEM GRAVY | ALOO BAINGAN TAMTAR | SEASONAL VEG GRAVY | MIX VEG GRAVY | NUTRI-NUGGETS VEG DRY | CHOKHA | KOFTA CURRY |
| Lunch | BHINDI DRY/ TANDOOR VEG | SEASONAL DRY VEG | SEV TAMTAR | KARELA DRY/KUNDRO (TENDLA) DRY | FRYUMEs | PICKLE | CRISY VEG |
|  | ROASTED PAPAD | FRYUMEs | ROASTED PAPAD | FRYUMEs | CURD/CHASS | ROASTED PAPAD | FRYUMEs |
|  | CURD/LASSI | PINEAPPLE RATIA | CURD & LEMON WATER | FRUIT RATIA | SALAD | CURD & LEMON WATER | DAHI WADA |
|  | SALAD | SALAD | SALAD | SALAD | SALAD | SALAD | SALAD |
|  | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | VEG FRIED RICE | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI |
|  | ARHAR DAL | TRIVENI DAL WITH LAUKI | SOUP | DAL FRY | MUSHROOM CHILLI | CHANA DAL | ARHAR DAL |
|  | CHILLI PANEER | MIX VEG | CHILLY CHICKEN | STUDENT'S SPECIAL | DRY | GUAVA/CAPSICUM VEG STUFFED | MUTTON CURRY |
| Dinner | ACARI STUFFED ALOO | BHINDI DRY/ TANDOOR VEG | VEG MANCHURIAN | FISH CURRY FISH | FISH CURRY FISH | MIX VEG DRY | CHILLI MUSHROOM |
|  | SALAD,PICKLE | SALAD,PICKLE | HAKKA NOODLES | SALAD,PICKLE | SALAD,PICKLE | SALAD,PICKLE | FRUIT CUSTARD |
|  | LAUKI/GAJAR HALWA | SEVAI KHER | FRUIT CUSTARD | ICE CREAM (BUTTER SCOTCH) WITH | JALEBI/MARTI | KHEER | GULABJAMUN |

<!-- page 4 -->
|         | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday |
|---------|--------|---------|-----------|----------|--------|----------|--------|
| Breakfast |        |         |           |          |        |          |        |
| Lunch   |        |         |           |          |        |          |        |
| Dinner  |        |         |           |          |        |          |        |
| Dessert |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |        |          |        |
|         |        |         |           |          |
