<!-- NIT Tiruchirappalli | All NITT messes - South Indian and North Indian tentative menus | read by the model -->
<!-- page 1 -->
|  | MONDAY | TUESDAY | WEDNESDAY | THURSDAY | FRIDAY | SATURDAY | SUNDAY |
| LUNCH | BINDIS MASALA | PALAK | ALLU GOBI / TINDORI Fry | RAJMA / BAINGAN Masala | SOYABEAN / Soya Mutter MASALA | ALU / Peas CABBAGE | PEAS ALLU SEMI / KARELA DRY |
|  | CHENNA DAL | MOONG DAL /DAL FRY | BESAN PAKORA KADHI, | PALAK DAL / MIXED | MYSORE DAL / DAL THADUK | CHENNA / ARKAR DAL | PUNJABI DAL |
|  | STEAM RICE | STEAM RICE | STEAM RICE | STEAM RICE | STEAM RICE | STEAM RICE | VEG BRIYANI |
|  | CHAPPATI, SALAD | CHAPPATI, SALAD | CHAPPATI, SALAD | CHAPPATI, SALAD | CHAPPATI, SALAD | CHAPPATI, SALAD | CHAPPATI, SALAD |
|  | FRYUMS / PAPPA | FRYUMS / PAPPA | FRYUMS / PAPPA | FRYUMS / PAPPA | FRYUMS / PAPPA | FRYUMS / PAPPA | FRYUMS / PAPPA |
|  | Lemon Juice | Lemon Juice | Lemon Juice | Lemon Juice | Lemon Juice | Lemon Juice | Lemon Juice |
|  | CURD | CURD | CURD | CURD | CURD | CURD | BOOONDI RAITHA |
| SNACKS | SAMOSA | NOODLES | KACHORI, CHUTNEY | CHENNA CHAT / CUTLET | BHEL PURI | BREAD PAKORA | DHAHI VADA (2 Nos) |
|  | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE |
| DINNER | MUTTER / Palak PANNER | LOKI DRY /ALOO BHINDI | PANNER KOFTA / KADAI PANNER | GOBI MANCHURIAN / CHILLI GOBI | ALU DUM / ALU BAJI | ALU JEERAA / ALU CHILLI Baji | CHENNA MASALA |
|  | PUNJABI DAL | CHENNA MASALA | CHENNA DAL | PUNJABI DAL | TOMATO DAL | MIXED DAL | SAUCE |
|  | JEERAA RICE | VEG PULAV, MASALA PAPAD | PLAIN RICE | PLAIN RICE | PEAS / KASHMIRI PULAO | CHENNA PULAV | FRIED RICE |
|  | FULKA, SALAD | FULKA, SALAD | FULKA, SALAD | FULKA, SALAD | FULKA, SALAD | METHI CHAPATHI | POORI |
|  | ICE CREAM | FLAVOUREED MILK | FRUIT SALAD | BANANA | SEASONAL FRUIT | SWEET | KHEER + BANANA |

<!-- page 3 -->
| Meal | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Breakfast | Pongal, medu vada (2 nos) | ONION/PODI/KAL DOSA | IDLY, VADACURY | OOTHAPPAM | SEMIYA / RAV KITCHIDI | POORI, POTATO MASALA | MASAL DOSA |
|  | Sambar, chutney | Sambar, onion chutney | Tomato chutney | Sambar, mint chutney | Sambar, coconut chutney | Toasted bread (4 nos) | Sambar, coconut chutney |
|  | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE |
| Lunch | Sambar | Vathakuzhambu | Sambar | Parruppu podi, ghee, morkuzhanbu | Sambar | Karakuzhambu | Mixed veg gravy |
|  | Potato / cabbage dry | Carrot, beans / raw banana poriyal | Ladies finger / yam fry | Gobi / beetroot curry | Pumpkin, mochhai / keerai koodu | Mixed Veg Curry (kerala type) | Gobi/ alo 65 |
|  | Dal Fry/ Dal Makhini | Green peas curry | Chenna Dal | Raima | Punjabi Dal | CHENNA / ARKAR DAL | Raitha |
|  | Steam rice | Steam rice | Steam rice | Steam rice | Steam rice | Steam rice | Veg. Briyani, raitha |
|  | Chappathi, | Fulkha, Salad | Chappathi | Fulkha | Chapthi | Chappthi | Fulkha |
|  | Rasam, appalam | Rasam, appalam | Rasam, appalam | Rasam, appalam | Rasam, appalam | Rasam, appalam | Curd rice |
|  | Lemon juice | Lemon juice | Lemon juice | Lemon juice | Lemon juice | Lemon juice | Lemon juice, Chips |
|  | Curd | Curd | Curd | Curd | Curd | Curd | Curd |
| Snacks | Bujji 2 nos+ chutney | Sprouts (1 cup) | Big samosa (1 no), sauce | Curd/rasa/medu vada (2) cutney | Onion/ medu pakoda | Cutlet / bonda, 2 nos, sauce | Kerrai / parupu vada (2 no) |
|  | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee |
| Dinner | Sambar, chutney | Fulkha | Chappathi | Chappathi | Dosa | Chapthi | Fulkha |
|  | Rice | Veg kuruma / fried rice | Meal maker masala | Chenna masala | Sambar, chutney | Tomato thokku | Panner butter masala |
|  | Mixed veg curry | Gobi / alo manjuriyan | Potato peas / potato capcicum poriyal | Veg poriyal | Fryams | Raitha | Thoviyal |
|  | Rasam | Butter milk | Curd rice, pickle | Rasam, appalam | Curd rice, pickle | Curd rice | Curd rice, pickle |
|  | Butter milk | Seasonal fruit | Butter milk | Butter milk | Flavored milk | Banana | Banana |
|  | Ice cream |  | Banana | Gulab Jamoon |  |  |  |
