written,how,became,reason,menus
alternate weeks shahi paneer,by rule,paneer_butter_masala,a rich paneer gravy,iit-kanpur__hall-11
alu bhaji,by rule,mix_veg,a vegetable dish: mix veg stands in,tezpur-university__kwh-womens-hostel
alu bondhakobi,by rule,gobhi_dry,a cabbage or cauliflower sabzi,tezpur-university__kwh-womens-hostel
alu chicken nv,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",tezpur-university__kwh-womens-hostel
alu french beans,by rule,mix_veg,a vegetable dish: mix veg stands in,tezpur-university__kwh-womens-hostel
alu fulkobi,by rule,gobhi_dry,a cabbage or cauliflower sabzi,tezpur-university__kwh-womens-hostel
alu matar,by rule,mix_veg,a vegetable dish: mix veg stands in,tezpur-university__kwh-womens-hostel
alu paneer,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,tezpur-university__kwh-womens-hostel
alu soyabean,by rule,soya_badi,soya chunks,tezpur-university__kwh-womens-hostel
alupitika,by hand,aloo_choka,,tezpur-university__kwh-womens-hostel
amritsari chhole,by rule,chole,a chickpea curry,iit-delhi__jwalamukhi-hostel
amti,by hand,dal_tadka,,vnit-nagpur__aaswad-mess
anda bhurji,by rule,egg_bhurji,an omelette or scrambled egg: egg cooked in oil,iit-delhi__jwalamukhi-hostel
any fruit seasonal,by rule,fruit_portion,a piece of fruit,iiser-bhopal__dining-hall-3
arhar daal sweet,by rule,toor_dal_tadka,toor dal,iit-kanpur__hall-8
arthar dal,by rule,toor_dal_tadka,toor dal,iit-kanpur__hall-11
arvi masala,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-2
awa veg dry chapati,by rule,roti,a flatbread,iit-dharwad__central-mess
baati chokha non veg chicken biryani,by hand,roti; aloo_choka,,iit-kanpur__hall-8
babycorn alu,by rule,mix_veg,a vegetable dish: mix veg stands in,tezpur-university__kwh-womens-hostel
bagara rice sherva,by rule,plain_rice,rice,iit-madras__ccw-veg-menu
baigaan aloo,by hand,mix_veg,,vnit-nagpur__aaswad-mess
baigaan masala,by rule,mix_veg,a vegetable dish: mix veg stands in,vnit-nagpur__aaswad-mess
baigan bhrata,by hand,mix_veg,,iit-bombay__hostel-3
baira rott,by rule,roti,a flatbread,vnit-nagpur__aaswad-mess
bajra rott,by rule,roti,a flatbread,vnit-nagpur__aaswad-mess
banana 2,by rule,fruit_portion,a piece of fruit,iit-kanpur__hall-2
banana 2p,by rule,fruit_portion,a piece of fruit,vnit-nagpur__aaswad-mess
banana fruit,by rule,fruit_portion,a piece of fruit,iit-madras__ccw-veg-menu
banana kofta,by rule,veg_kofta,fried vegetable balls in gravy,tezpur-university__kwh-womens-hostel
banana pcs,by rule,fruit_portion,a piece of fruit,iit-kanpur__hall-8
banana shake,by rule,milk_glass,a milk drink: a glass of milk,iit-kanpur__hall-11
bananaa coffee,by rule,tea,coffee and tea are made with milk in a mess: the catalog's tea stands in for both,iit-dharwad__central-mess
bbj 4 slices coffee,by rule,tea,coffee and tea are made with milk in a mess: the catalog's tea stands in for both,iit-dharwad__central-mess
beans,by rule,mix_veg,a vegetable dish: mix veg stands in,sns-college-of-engineering__hostel-mess
beet root,by rule,salad,raw vegetables,vnit-nagpur__aaswad-mess
beetroot,by rule,salad,raw vegetables,iiser-bhopal__dining-hall-3 vnit-nagpur__aaswad-mess
beetroot fry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
beetroot poriyal,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
bengena bhaji,by rule,mix_veg,a vegetable dish: mix veg stands in,tezpur-university__kwh-womens-hostel
bengena pakora v,by rule,pakoda,a fritter,tezpur-university__kwh-womens-hostel
besan barfi,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iiser-bhopal__dining-hall-3
besan gatta sabji,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-2
bhature,by rule,poori,a deep-fried bread,iiser-bhopal__dining-hall-3 iit-bombay__hostel-3 iit-delhi__jwalamukhi-hostel sliet-longowal__hostel-mess
bhelpuri,by hand,corn_chat,,gniot-greater-noida__hostel
bhindi fry,by rule,kurmuri_bhindi,a bhindi sabzi,iit-bombay__hostel-3
bhindi masala,by rule,kurmuri_bhindi,a bhindi sabzi,iit-kanpur__hall-2 iit-madras__ccw-veg-menu
bhindi pyaja,by rule,kurmuri_bhindi,a bhindi sabzi,iit-kanpur__hall-11
bhindl masala,by rule,kurmuri_bhindi,a bhindi sabzi,gniot-greater-noida__hostel
bichotala,by hand,(not counted),,iit-kanpur__hall-8
bindi peanut onion fry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
biscuit,by rule,ratlami_sev,a packaged or fried namkeen: sev stands in,gniot-greater-noida__hostel sns-college-of-engineering__hostel-mess
bisi bele bhaath karabodhi odd vermicelli upmav en tadakaa kabuli chaana bbj,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,iit-dharwad__central-mess
bitter gourd fry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
black,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iiser-bhopal__dining-hall-3
black masoor dal,by rule,masoor_dal_dish,masoor dal,gniot-greater-noida__hostel
boiled,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-delhi__jwalamukhi-hostel
boiled black channa,by rule,chole,a chickpea curry,iit-madras__ccw-veg-menu
boiled chawl white,by hand,plain_rice,,iit-madras__ccw-veg-menu
boiled egg 01 no or 04 numbers of bread slices sandwich bread cake size with 17 gram butter or 20 gram jam or boiled egg 01 no or 8 5 gram butter,by hand,boiled_egg; bread_slice; amul_butter; jam,,sliet-longowal__hostel-mess
boiled egg 01 no or 04 numbers of bread slices sandwich bread cake size with 17 gram butter or boiled egg 01 no or 8 5 gram butter,by hand,boiled_egg; bread_slice; amul_butter,,sliet-longowal__hostel-mess
boiled green gram,by rule,boiled_sprouts,sprouts or boiled pulses,iit-madras__ccw-veg-menu
boiled peanut,by rule,boiled_sprouts,sprouts or boiled pulses,iit-bombay__hostel-3 iit-madras__ccw-veg-menu
boiled sweet corn,by hand,sweetcorn_side,,iit-madras__ccw-veg-menu
boiled white channa,by rule,chole,a chickpea curry,iit-madras__ccw-veg-menu
boiled white peas,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
bolled sabji,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
bombay chutney,by rule,green_chutney,a chutney,iit-kanpur__hall-8
bombay sandwich,by rule,bread_slice,"bread, however it is served",iit-kanpur__hall-2
bonda,by rule,pakoda,a fritter,sns-college-of-engineering__hostel-mess
bondhakobi motor,by rule,gobhi_dry,a cabbage or cauliflower sabzi,tezpur-university__kwh-womens-hostel
bondi rabbi veg,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
boondi laddu,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,gniot-greater-noida__hostel
boost milk,by rule,milk_glass,a milk drink: a glass of milk,iit-madras__ccw-veg-menu
bottle guard dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-tirupati__central-mess-apr2024
bottle guard poriyal,by rule,mix_veg,a vegetable dish: mix veg stands in,sns-college-of-engineering__hostel-mess
bournvita,by rule,milk_glass,a milk drink: a glass of milk,iiser-bhopal__dining-hall-3 iit-delhi__jwalamukhi-hostel iit-dharwad__central-mess iit-kanpur__hall-11 iit-kanpur__hall-8
bread butter,by rule,bread_slice,"bread, however it is served",gniot-greater-noida__hostel iit-kanpur__hall-2
bread pakora,by rule,bread_slice,"bread, however it is served",iit-madras__ccw-veg-menu
breshan bhujiya,by rule,ratlami_sev,a packaged or fried namkeen: sev stands in,iit-kanpur__hall-8
brinjal fry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
brinjal ki sabxi,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
brown bread,by rule,bread_slice,"bread, however it is served",iit-madras__ccw-veg-menu
brownie with ice cream,by hand,brownie_square; fruit_custard,,iit-delhi__jwalamukhi-hostel
bud dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,tezpur-university__kwh-womens-hostel
bud dal lau dhania,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,tezpur-university__kwh-womens-hostel
bundi,by hand,boondi_raita,,iit-tirupati__central-mess-apr2024
burfi,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iit-bombay__hostel-3
butter chicken,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-bombay__hostel-3
butter fried daal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-bombay__hostel-3
butter fried dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-bombay__hostel-3
butter milk,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),iit-tirupati__central-mess-apr2024 sns-college-of-engineering__hostel-mess vnit-nagpur__aaswad-mess
butter milk with pickle,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),sns-college-of-engineering__hostel-mess
butter pepper corn,by rule,sweetcorn_side,sweetcorn,iit-delhi__jwalamukhi-hostel
butter salted popcorn,by hand,poha,,iit-madras__ccw-veg-menu
buttered,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-kanpur__hall-2
buttermilk,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),iiser-bhopal__dining-hall-3 iit-madras__ccw-veg-menu
c options for butter,by rule,amul_butter,butter or ghee,iit-kanpur__hall-11
cabbage,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iiser-bhopal__dining-hall-3
cabbage fry,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iit-tirupati__central-mess-apr2024
cabbage peas sabji,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iit-madras__ccw-veg-menu
cabbage poriyal,by rule,gobhi_dry,a cabbage or cauliflower sabzi,sns-college-of-engineering__hostel-mess
capscium subzi,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
carrot,by rule,salad,raw vegetables,iiser-bhopal__dining-hall-3 vnit-nagpur__aaswad-mess
carrot chapati,by rule,roti,a flatbread,iit-dharwad__central-mess
carrot poriyal,by rule,mix_veg,a vegetable dish: mix veg stands in,sns-college-of-engineering__hostel-mess
catchup,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,gniot-greater-noida__hostel
cauliflower,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iit-tirupati__central-mess-apr2024
cauliflower aloo,by rule,gobhi_dry,a cabbage or cauliflower sabzi,vnit-nagpur__aaswad-mess
cauliflower peas curry,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iit-madras__ccw-veg-menu
chaas,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),iit-bombay__hostel-3
chana,by hand,boiled_sprouts,,iiser-bhopal__dining-hall-3 iit-tirupati__central-mess-apr2024
chana chaat,by rule,boiled_sprouts,sprouts or boiled pulses,iit-madras__ccw-veg-menu
chana curry,by rule,chole,a chickpea curry,vnit-nagpur__aaswad-mess
chana daal coconut flavour,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-kanpur__hall-8
chana dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,gniot-greater-noida__hostel iit-delhi__jwalamukhi-hostel iit-kanpur__hall-11
chana dal takda,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,vnit-nagpur__aaswad-mess
chana masala,by rule,chole,a chickpea curry,iit-bombay__hostel-3
chana urad dal,by rule,dal_makhani,a black dal,gniot-greater-noida__hostel
chanch,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),iit-kanpur__hall-11
channa daal sweet maalpuja veg,by hand,dal_tadka; gulab_jamun,,iit-kanpur__hall-8
chapati plain,by rule,roti,a flatbread,iit-kanpur__hall-2
chate pate aloo,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
chatni,by rule,green_chutney,a chutney,iit-bombay__hostel-3
chawli masala,by rule,rajma_dish,a whole-bean curry: rajma stands in,iit-bombay__hostel-3
chena pays,by rule,kheer,a milk pudding,gniot-greater-noida__hostel
chenna masala,by rule,chole,a chickpea curry,sns-college-of-engineering__hostel-mess
chhhola,by rule,chole,a chickpea curry,iit-kanpur__hall-2
chhola bhattra,by hand,chole; poori,,iit-kanpur__hall-2
chicken,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-tirupati__central-mess-apr2024
chicken biryani plain rice,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-dharwad__central-mess
chicken curry 2 pos matar pulav,by hand,peas_pulao,,iit-kanpur__hall-8
chicken kalmircu,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-kanpur__hall-8
chicken kohlapuri,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-dharwad__central-mess
chicken kosha 02 pcs,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-kanpur__hall-11
chicken kulhapuri,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",vnit-nagpur__aaswad-mess
chicken tikka masala,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-tirupati__central-mess-apr2024
chilli chicken nv,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",tezpur-university__kwh-womens-hostel
chilli gobi,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iit-bombay__hostel-3
chilli paneer moong dal,by hand,mutter_paneer; dal_tadka,,iiser-bhopal__dining-hall-3
chilli paneer paneer 50gms on alternate week,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,sliet-longowal__hostel-mess
chilli paneer v,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,tezpur-university__kwh-womens-hostel
chittan panner thika,by hand,mutter_paneer,,iit-kanpur__hall-8
chocolate milkshake,by rule,milk_glass,a milk drink: a glass of milk,iit-bombay__hostel-3
chocos,by rule,cereal_bowl,breakfast cereal,iit-bombay__hostel-3 iit-delhi__jwalamukhi-hostel iit-kanpur__hall-11 iit-madras__ccw-veg-menu
chole masala aloo jeeraa poor green chilli,by rule,chole,a chickpea curry,iit-dharwad__central-mess
chole puri,by hand,chole; poori,,gniot-greater-noida__hostel
chow,by rule,noodles,noodles or pasta,tezpur-university__kwh-womens-hostel
chowmein with red,by rule,noodles,noodles or pasta,gniot-greater-noida__hostel
chutney,by rule,green_chutney,a chutney,sliet-longowal__hostel-mess vnit-nagpur__aaswad-mess
cluster beans,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
coconut chutney 8 00 am to 10 00 am,by hand,nariyal_chutney,,iiser-bhopal__dining-hall-3
cocunut milk,by rule,milk_glass,a milk drink: a glass of milk,sns-college-of-engineering__hostel-mess
cold milk,by rule,milk_glass,a milk drink: a glass of milk,iit-kanpur__hall-11
com palak masala,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
conflakes,by rule,cereal_bowl,breakfast cereal,iit-madras__ccw-veg-menu
coriander,by hand,(not counted),,sns-college-of-engineering__hostel-mess
cornflakes,by rule,cereal_bowl,breakfast cereal,iiser-bhopal__dining-hall-3 iit-bombay__hostel-3 iit-delhi__jwalamukhi-hostel iit-kanpur__hall-11 iit-kanpur__hall-2
cornflakes milk,by rule,milk_glass,a milk drink: a glass of milk,gniot-greater-noida__hostel
cucumber,by rule,salad,raw vegetables,iiser-bhopal__dining-hall-3 vnit-nagpur__aaswad-mess
curd 1 katori or 150gm,by rule,plain_curd,curd,iiser-bhopal__dining-hall-3
curd 100 gram with chat masala,by rule,plain_curd,curd,sliet-longowal__hostel-mess
curd rice,by rule,plain_rice; plain_curd,curd rice is rice and curd,iit-madras__ccw-veg-menu sns-college-of-engineering__hostel-mess
curd rice plain rice,by rule,plain_rice; plain_curd,curd rice is rice and curd,iit-dharwad__central-mess
curdy,by hand,plain_curd,,iit-kanpur__hall-2
curry item,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-tirupati__central-mess-apr2024
curry leaf thoviyal,by rule,green_chutney,a chutney,iit-madras__ccw-veg-menu
daal fried arhar,by rule,toor_dal_tadka,toor dal,sliet-longowal__hostel-mess
daal fried masur dhuli,by rule,masoor_dal_dish,masoor dal,sliet-longowal__hostel-mess
daal fried moong chihilke wall,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,sliet-longowal__hostel-mess
daal fried moong sabut,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,sliet-longowal__hostel-mess
daal fried rajmah,by rule,rajma_dish,rajma,sliet-longowal__hostel-mess
daalfried urad sabut,by hand,dal_makhani,,sliet-longowal__hostel-mess
dab mutter masala boilled chaana dal dry chapati,by rule,roti,a flatbread,iit-dharwad__central-mess
dahi bhalla with pappri with green,by hand,dahi; vada; corn_chat; green_chutney,,gniot-greater-noida__hostel
dahikadhi pakoda dry veg carabage chapati,by rule,roti,a flatbread,iit-dharwad__central-mess
daji kabar,by hand,(not counted),,iit-kanpur__hall-8
dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-bombay__hostel-3 iit-delhi__jwalamukhi-hostel iit-kanpur__hall-2 iit-tirupati__central-mess-apr2024 sliet-longowal__hostel-mess tezpur-university__kwh-womens-hostel
dal bafle with garlic chutney,by hand,dal_tadka; roti; red_chutney,,iiser-bhopal__dining-hall-3
dal fry,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-bombay__hostel-3 iit-tirupati__central-mess-apr2024 vnit-nagpur__aaswad-mess
dal fry chapati,by rule,roti,a flatbread,iit-dharwad__central-mess
dal fry kadhi chicken,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-dharwad__central-mess
dal khichadi,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,gniot-greater-noida__hostel
dal maharani,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-delhi__jwalamukhi-hostel
dal malka,by rule,dal_makhani,a black dal,iit-kanpur__hall-2
dal moong lobia,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-delhi__jwalamukhi-hostel
dal moong malka,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-delhi__jwalamukhi-hostel
dal palak channa,by hand,dal_tadka,,vnit-nagpur__aaswad-mess
dal pancharata doobhi,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-dharwad__central-mess
dal punjabi fry,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-bombay__hostel-3
dal takda tur,by rule,toor_dal_tadka,toor dal,vnit-nagpur__aaswad-mess
dal urad chana,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-delhi__jwalamukhi-hostel
dalia,by rule,upma,"upma, or a grain porridge made like it",sliet-longowal__hostel-mess
dalma,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-kanpur__hall-11
desi ghee suji halwa,by rule,moong_halwa,a halwa,iit-delhi__jwalamukhi-hostel
dhal sami gravy,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-dharwad__central-mess
dombi baafi non veg,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-kanpur__hall-8
donuts,by rule,brownie_square,a baked sweet,iiser-bhopal__dining-hall-3
double ka metha,by hand,gulab_jamun,,iit-tirupati__central-mess-apr2024
dry chana,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-bombay__hostel-3
dry fruit ladot sweet maalpuja veg,by hand,gulab_jamun,,iit-kanpur__hall-8
dry fruit non veg,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-kanpur__hall-8
dry masala aalu,by rule,mix_veg,a vegetable dish: mix veg stands in,sliet-longowal__hostel-mess
dum alog non veg mutton biryani salan sweet karijatti,by hand,dum_aloo,,iit-kanpur__hall-8
egg 1,by rule,boiled_egg,an egg,iit-kanpur__hall-2 iit-tirupati__central-mess-apr2024
egg 1 pc b regular breakfast as per the menu,by rule,boiled_egg,an egg,iit-kanpur__hall-11
egg 2 pcs banana 2 pcs,by hand,boiled_egg; fruit_portion,,iit-kanpur__hall-11
egg masala,by rule,egg_curry,egg curry,iit-bombay__hostel-3
eggplant 2p,by hand,mix_veg,,vnit-nagpur__aaswad-mess
emarti rabbi veg,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
even dates sauce,by hand,(not counted),,iit-dharwad__central-mess
finger fries,by hand,french_fries,,iit-kanpur__hall-11
fish fry,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-kanpur__hall-8
fish non veg,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",tezpur-university__kwh-womens-hostel
fried daal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-kanpur__hall-8
fried maggi,by rule,noodles,noodles or pasta,iit-delhi__jwalamukhi-hostel
fried mirch,by hand,(not counted),,iit-delhi__jwalamukhi-hostel
fried rice,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iiser-bhopal__dining-hall-3 iit-delhi__jwalamukhi-hostel sliet-longowal__hostel-mess
fruit oats,by rule,oatmeal,oats,iit-delhi__jwalamukhi-hostel
fry praw,by hand,(not counted),,iit-kanpur__hall-8
fryms,by rule,papad,a papad or fryum,iit-kanpur__hall-11
fryums,by rule,papad,a papad or fryum,iit-madras__ccw-veg-menu iit-tirupati__central-mess-apr2024
gadaar halwa,by rule,moong_halwa,a halwa,iit-kanpur__hall-8
ghee,by rule,amul_butter,butter or ghee,iit-tirupati__central-mess-apr2024
ghee daliya,by rule,upma,"upma, or a grain porridge made like it",iit-delhi__jwalamukhi-hostel
ginger chutney,by rule,green_chutney,a chutney,iit-kanpur__hall-8
gobhi masala,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iit-delhi__jwalamukhi-hostel
gobhi paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iit-tirupati__central-mess-apr2024
gobi manchurian,by rule,veg_kofta,fried vegetable balls in gravy,tezpur-university__kwh-womens-hostel
gobi paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,tezpur-university__kwh-womens-hostel
gongura dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-tirupati__central-mess-apr2024
gongura thoviyal,by rule,green_chutney,a chutney,iit-madras__ccw-veg-menu
goongra chutney,by rule,green_chutney,a chutney,iit-tirupati__central-mess-apr2024
gram butter,by rule,amul_butter,butter or ghee,sliet-longowal__hostel-mess
gram curd,by rule,plain_curd,curd,sliet-longowal__hostel-mess
gram jam along with 8 00 am 9 15 am on saturday,by hand,gulab_jamun,,sliet-longowal__hostel-mess
green,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",gniot-greater-noida__hostel
green baigan,by hand,mix_veg,,iiser-bhopal__dining-hall-3
green chantey,by hand,green_chutney,,iit-kanpur__hall-8
green chilli,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iiser-bhopal__dining-hall-3
green dhanya,by hand,(not counted),,iit-kanpur__hall-8
green gram sprouts,by rule,boiled_sprouts,sprouts or boiled pulses,iit-madras__ccw-veg-menu
green peas,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-dharwad__central-mess
green peas pulao plain rice,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iit-dharwad__central-mess
green sprouts,by rule,boiled_sprouts,sprouts or boiled pulses,iit-tirupati__central-mess-apr2024
greens banana,by rule,fruit_portion,a piece of fruit,iit-dharwad__central-mess
ground nut chutney,by rule,red_chutney,a red chutney,iit-tirupati__central-mess-apr2024
groundnut chutney,by rule,red_chutney,a red chutney,iit-tirupati__central-mess-apr2024
groundnut chutney brinjal sambar,by hand,red_chutney; sambhar,,iit-madras__ccw-veg-menu
gutti vankaya curry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
